cislo_ku, nazev_ku
601527,Běchovice
602582,Benice
614131,Březiněves
629952,Dolní Počernice
633330,Dubeč
643777,Horní Počernice
652393,Cholupice
652407,Točná
665444,Klánovice
668508,Koloděje
668591,Kolovraty
668605,Lipany
672629,Královice
676071,Křeslice
683973,Lipence
686425,Lochkov
702323,Nedvězí u Říčan
720984,Písnice
727008,Josefov
727024,Staré Město
727091,Malá Strana
727121,Hradčany
727164,Vinohrady
727181,Nové Město
727300,Vyšehrad
727415,Žižkov
727598,Krč
727750,Michle
727857,Hodkovičky
727873,Braník
728071,Lhotka
728152,Podolí
728161,Nusle
728225,Chodov
728233,Háje
728314,Kunratice
728390,Libuš
728438,Kamýk
728519,Komořany
728616,Modřany
728641,Radlice
728730,Jinonice
728764,Košíře
728837,Hlubočepy
728951,Motol
729051,Smíchov
729183,Malá Chuchle
729213,Velká Chuchle
729248,Lahovice
729272,Dejvice
729302,Střešovice
729353,Veleslavín
729418,Vokovice
729582,Břevnov
729701,Řepy
729710,Ruzyně
729795,Liboc
729876,Nebušice
729931,Lysolaje
729981,Suchdol
730041,Sedlec
730106,Bubeneč
730122,Holešovice
730190,Troja
730394,Čimice
730475,Kobylisy
730556,Bohnice
730599,Dolní Chabry
730629,Ďáblice
730866,Střížkov
730891,Libeň
730955,Karlín
731226,Kyje
731234,Hloubětín
731285,Vysočany
731382,Prosek
731439,Letňany
731528,Třeboradice
731552,Miškovice
731561,Čakovice
731641,Kbely
731676,Černý Most
731722,Hostavice
731765,Hrdlořezy
731943,Strašnice
732052,Hostivař
732117,Záběhlice
732257,Vršovice
732451,Malešice
732516,Štěrboholy
732541,Dolní Měcholupy
732583,Horní Měcholupy
732613,Petrovice
734373,Přední Kopanina
738620,Radotín
745251,Řeporyje
745278,Zadní Kopanina
746134,Satalice
750573,Holyně
750590,Slivenec
755541,Stodůlky
762130,Šeberov
770353,Třebonice
773395,Hájek u Uhříněvsi
773417,Pitkovice
773425,Uhříněves
773778,Újezd nad Lesy
773999,Újezd u Průhonic
782378,Vinoř
791733,Zbraslav
793256,Sobín
793264,Zličín